Tabella,Colpo maldestro,Risultato del tiro,descrizione,note
TTM-3,Incantesimi,1,"Perdi la concentrazione per lo sforzo eccessivo. Sprechi l'incantesimo, ma non perdi i Punti Magia.","MODIFICHE:
-20: Incantesimi di Classe ""I""
-10: Incantesimi di Classe ""U""
+0: Incantesimi di Classe ""P""
+10: Incantesimi di Classe ""F'
+20: Incantesimi di Classe ""E'"
TTM-3,Incantesimi,2,"Perdi la concentrazione per lo sforzo eccessivo. Sprechi l'incantesimo, ma non perdi i Punti Magia.","MODIFICHE:
-20: Incantesimi di Classe ""I""
-10: Incantesimi di Classe ""U""
+0: Incantesimi di Classe ""P""
+10: Incantesimi di Classe ""F'
+20: Incantesimi di Classe ""E'"
TTM-3,Incantesimi,3,"Perdi la concentrazione per lo sforzo eccessivo. Sprechi l'incantesimo, ma non perdi i Punti Magia.","MODIFICHE:
-20: Incantesimi di Classe ""I""
-10: Incantesimi di Classe ""U""
+0: Incantesimi di Classe ""P""
+10: Incantesimi di Classe ""F'
+20: Incantesimi di Classe ""E'"
TTM-3,Incantesimi,4,"Perdi la concentrazione per lo sforzo eccessivo. Sprechi l'incantesimo, ma non perdi i Punti Magia.","MODIFICHE:
-20: Incantesimi di Classe ""I""
-10: Incantesimi di Classe ""U""
+0: Incantesimi di Classe ""P""
+10: Incantesimi di Classe ""F'
+20: Incantesimi di Classe ""E'"
TTM-3,Incantesimi,5,"Perdi la concentrazione per lo sforzo eccessivo. Sprechi l'incantesimo, ma non perdi i Punti Magia.","MODIFICHE:
-20: Incantesimi di Classe ""I""
-10: Incantesimi di Classe ""U""
+0: Incantesimi di Classe ""P""
+10: Incantesimi di Classe ""F'
+20: Incantesimi di Classe ""E'"
TTM-3,Incantesimi,6,Stai pensando ad altro. Non riesci a lanciare né a preparare incantesimi nel prossimo round. ,"MODIFICHE:
-20: Incantesimi di Classe ""I""
-10: Incantesimi di Classe ""U""
+0: Incantesimi di Classe ""P""
+10: Incantesimi di Classe ""F'
+20: Incantesimi di Classe ""E'"
TTM-3,Incantesimi,7,Stai pensando ad altro. Non riesci a lanciare né a preparare incantesimi nel prossimo round. ,"MODIFICHE:
-20: Incantesimi di Classe ""I""
-10: Incantesimi di Classe ""U""
+0: Incantesimi di Classe ""P""
+10: Incantesimi di Classe ""F'
+20: Incantesimi di Classe ""E'"
TTM-3,Incantesimi,8,Stai pensando ad altro. Non riesci a lanciare né a preparare incantesimi nel prossimo round. ,"MODIFICHE:
-20: Incantesimi di Classe ""I""
-10: Incantesimi di Classe ""U""
+0: Incantesimi di Classe ""P""
+10: Incantesimi di Classe ""F'
+20: Incantesimi di Classe ""E'"
TTM-3,Incantesimi,9,Stai pensando ad altro. Non riesci a lanciare né a preparare incantesimi nel prossimo round. ,"MODIFICHE:
-20: Incantesimi di Classe ""I""
-10: Incantesimi di Classe ""U""
+0: Incantesimi di Classe ""P""
+10: Incantesimi di Classe ""F'
+20: Incantesimi di Classe ""E'"
TTM-3,Incantesimi,10,Stai pensando ad altro. Non riesci a lanciare né a preparare incantesimi nel prossimo round. ,"MODIFICHE:
-20: Incantesimi di Classe ""I""
-10: Incantesimi di Classe ""U""
+0: Incantesimi di Classe ""P""
+10: Incantesimi di Classe ""F'
+20: Incantesimi di Classe ""E'"
